mlcoalsim version 1.9916b (20190520)

"OUTPUT FILE: date Thu Sep 19 11:51:40 2019" 

"Input data from the file: baselines/case03/1locus_1pop_mhit0_recINF_Lmod.txt"

Print_neuttest:                  1
Print_matrixpol:                 1
N_iterations:                    500
Seed1:                           81140

N_loci:                          1
No_rec_males:                    0
Factorn_chr:                     1.000000
Pevent_sexratio:                
Fixmax_abstime_event:           
Sex_ratio:                       1.000000
N_sites:                         1000
N_samples:                       20
Npop:                            1


Thetaw:                          0.01

Recombination:                   1E+06
Iflogistic:                      0
Nintn:                           0
Nrec:                           
Tpast:                          



Patcg:                           -1




Neutral tests (excluding multiple hits positions)
value(TD[pop=0])	value(Fs[pop=0])	value(FDn[pop=0])	value(FFn[pop=0])	value(FD[pop=0])	value(FF[pop=0])	value(H[pop=0])	value(B[pop=0])	value(Q[pop=0])	value(ZnA[pop=0])	value(Fst[pop=0])	value(Kw[pop=0])	value(Hw[pop=0])	value(R2[pop=0])	value(S[pop=0])	value(piw[pop=0])	value(pib[pop=0])	value(ThetaW[pop=0])	value(ThetaT[pop=0])	value(ThetaFW[pop=0])	value(D_Dmin[pop=0])	value(H_norm[pop=0])	value(maxhap[pop=0])	value(maxhap1[pop=0])	value(Rm[pop=0])	value(ThetaFL[pop=0])	value(ThetaL[pop=0])	value(ZengE[pop=0])	value(EW[pop=0])	value(Fstw[pop=0])	value(minuiHS[pop=0])	value(maxuiHS[pop=0])	value(maxliES[pop=0])	value(fixoutg[pop=0])	value(KoutgJC[pop=0])	value(ThetaWA[pop=0])	value(ThetaWAn[pop=0])	value(ThetaTA[pop=0])	value(ThetaTAn[pop=0])	value(AchY[pop=0])	value(AchYn[pop=0])	value(m_sdev[pop=0])	value(m_skew[pop=0])	value(m_kurt[pop=0])	value(ragg[pop=0])	value(ZnS[pop=0])	value(ZZ[pop=0])	
-0.202965	-11.4206	-0.620089	-0.529128	-0.197749	-0.215679	-5.84211	0	0	0.0536855	na	20	1	0.116071	42	11.2368	0	11.8385	11.2368	17.0789	-0.0787694	-0.859422	0.05	na	16	13	14.1579	0.703023	0.05	na	na	na	na	na	na	11.3826	10.0196	11.0409	10.6588	-0.148003	0.333375	2.75291	0.140649	0.263355	0.0283102	0.0546748	-0.00098928	
0.0234709	-15.6354	-0.34673	-0.253063	-0.519836	-0.369745	0.389474	0	0	0.0812484	na	20	1	0.126015	25	7.08947	0	7.04674	7.08947	6.7	0.00939869	0.0919377	0.05	na	12	9	6.89474	-0.0716021	0.05	na	na	na	na	na	na	6.28008	6.41255	6.87719	6.91765	0.455132	0.401598	2.25548	0.0441719	-0.112261	0.0161219	0.054944	0.0263045	
-0.0705613	-12.6792	0.223845	0.145341	0.172916	0.0993609	1.8	0	0	0.0397796	na	20	1	0.12701	35	9.68947	0	9.86544	9.68947	7.88947	-0.0276435	0.313355	0.05	na	18	9	8.78947	-0.382003	0.05	na	na	na	na	na	na	10.2051	10.4204	9.76608	9.82353	-0.211195	-0.299829	2.60309	0.163626	-0.443306	0.0309695	0.0526441	-0.0128645	
0.0657419	-13.459	0.0357283	0.0476541	-0.0581385	-0.0185813	-2.02105	0	0	0.0401709	na	20	1	0.129774	31	8.88421	0	8.73796	8.88421	10.9053	0.0259407	-0.393074	0.05	na	13	9	9.89474	0.455434	0.05	na	na	na	na	na	na	8.63511	8.81725	8.87135	8.92353	0.133302	0.0626032	2.69769	0.320329	-0.240374	0.0306371	0.0560824	-0.0159115	
-0.259021	-15.2481	-0.335037	-0.333442	-0.50997	-0.461691	2.10526	0	0	0.0623159	na	20	1	0.116218	28	7.36842	0	7.89235	7.36842	5.26316	-0.102885	0.448957	0.05	na	13	10	6.31579	-0.676115	0.05	na	na	na	na	na	na	7.06509	7.21412	7.07602	7.11765	0.00746353	-0.0686902	2.0525	-0.0244422	-0.515696	0.0198892	0.0488246	0.0134914	
0.752923	-11.2955	0.844635	0.872553	1.14402	1.09586	-1.81053	0	0	0.0426341	na	20	1	0.160954	34	11.4105	0	9.58357	11.4105	13.2211	0.295454	-0.323673	0.05	na	22	4	12.3158	0.994425	0.05	na	na	na	na	na	na	11.7751	11.6227	12.2339	12.1941	0.192326	0.258494	2.43213	0.0141148	-0.236498	0.0206648	0.048595	-0.00596088	
-0.355431	-13.9093	-0.717991	-0.651276	-0.777567	-0.688919	0.294737	0	0	0.0414778	na	20	1	0.110021	33	8.46316	0	9.3017	8.46316	8.16842	-0.139717	0.0541492	0.05	na	14	13	8.31579	-0.368096	0.05	na	na	na	na	na	na	7.8501	7.6149	7.95906	7.89412	0.0673126	0.18895	2.53989	-0.0682026	-0.573844	0.0387812	0.0570527	-0.0155749	
0.689061	-10.53	0.490852	0.58731	0.690102	0.745533	0.926316	0	0	0.0478377	na	20	1	0.155606	38	12.5684	0	10.711	12.5684	11.6421	0.268755	0.149504	0.05	na	22	7	12.1053	0.461106	0.05	na	na	na	na	na	na	12.1676	12.0235	13.1871	13.1529	0.414085	0.494569	2.77804	0.044343	-0.522351	0.0183934	0.054219	-0.00638129	
-0.25271	-12.1533	0.0836306	-0.0179161	0.362243	0.169344	-0.252632	0	0	0.0396014	na	20	1	0.118846	39	10.2947	0	10.9929	10.2947	10.5474	-0.0984332	-0.0398071	0.05	na	15	9	10.4211	-0.184915	0.05	na	na	na	na	na	na	11.7751	11.222	10.4386	10.2765	-0.560304	-0.442404	2.51082	0.137697	-0.343049	0.0135734	0.0480594	-0.008458	
0.333539	-10.1956	0.636076	0.582777	0.687032	0.614466	0.263158	0	0	0.0574883	na	20	1	0.144405	43	13.1316	0	12.1204	13.1316	12.8684	0.129301	0.0378747	0.05	na	25	8	13	0.261171	0.05	na	na	na	na	na	na	13.7377	14.0274	13.7018	13.7824	-0.012972	-0.0924973	3.13346	0.27323	0.121605	0.0249307	0.0579067	-0.000418373	
