mlcoalsim version 1.9916b (20190520)

"OUTPUT FILE: date Fri Sep 20 07:38:00 2019" 

"Input data from the file: baselines/case04/1locus_1pop_mhit0_obs.txt"

Print_neuttest:                  1
Print_matrixpol:                 1
N_iterations:                    700
Seed1:                           81140

N_loci:                          1
No_rec_males:                    0
Factorn_chr:                     1.000000
Pevent_sexratio:                
Fixmax_abstime_event:           
Sex_ratio:                       1.000000
N_sites:                         10000
N_samples:                       20
Npop:                            1


Thetaw:                          0.01

Recombination:                   0
Iflogistic:                      0
Nintn:                           0
Nrec:                           
Tpast:                          



Patcg:                           -1

Td_obs:                          1.75
R2_obs:                          0.11

Td_active:                       1
R2_active:                       1


Neutral tests (excluding multiple hits positions)
value(TD[pop=0])	value(Fs[pop=0])	value(FDn[pop=0])	value(FFn[pop=0])	value(FD[pop=0])	value(FF[pop=0])	value(H[pop=0])	value(B[pop=0])	value(Q[pop=0])	value(ZnA[pop=0])	value(Fst[pop=0])	value(Kw[pop=0])	value(Hw[pop=0])	value(R2[pop=0])	value(S[pop=0])	value(piw[pop=0])	value(pib[pop=0])	value(ThetaW[pop=0])	value(ThetaT[pop=0])	value(ThetaFW[pop=0])	value(D_Dmin[pop=0])	value(H_norm[pop=0])	value(maxhap[pop=0])	value(maxhap1[pop=0])	value(Rm[pop=0])	value(ThetaFL[pop=0])	value(ThetaL[pop=0])	value(ZengE[pop=0])	value(EW[pop=0])	value(Fstw[pop=0])	value(minuiHS[pop=0])	value(maxuiHS[pop=0])	value(maxliES[pop=0])	value(fixoutg[pop=0])	value(KoutgJC[pop=0])	value(ThetaWA[pop=0])	value(ThetaWAn[pop=0])	value(ThetaTA[pop=0])	value(ThetaTAn[pop=0])	value(AchY[pop=0])	value(AchYn[pop=0])	value(m_sdev[pop=0])	value(m_skew[pop=0])	value(m_kurt[pop=0])	value(ragg[pop=0])	value(ZnS[pop=0])	value(ZZ[pop=0])	
0.118724	-1.92738	0.555285	0.45232	0.604291	0.470146	37.7263	0.0711864	0.0912162	0.174825	na	20	1	0.135088	296	85.8105	0	83.4334	85.8105	48.0842	0.044157	0.840079	0.05	na	0	61	66.9474	-0.799147	0.05	na	na	na	na	na	na	92.2386	94.1843	88.5673	89.0882	-0.203009	-0.294805	45.707	-0.480725	-1.22595	0.0115235	0.18009	-0.0052647	
-0.46702	0.257071	0.566228	0.269735	0.619994	0.257699	-17.7895	0.168803	0.185501	0.225971	na	19	0.994737	0.115314	469	117.421	0	132.197	117.421	135.211	-0.173228	-0.251069	0.1	na	0	96	126.316	-0.181424	0.055	na	na	na	na	na	na	146.404	149.493	119.801	120.506	-0.928483	-1.0585	79.4826	0.347584	-1.20283	0.0169252	0.218049	0.00792206	
-0.0589525	1.66747	0.415742	0.290627	0.422502	0.274984	18.1895	0.0925926	0.114391	0.192973	na	17	0.978947	0.128235	271	75.3053	0	76.3867	75.3053	57.1158	-0.0219411	0.441938	0.15	na	0	62	66.2105	-0.537678	0.07	na	na	na	na	na	na	82.0335	83.7639	76.7836	77.2353	-0.326205	-0.424387	46.9055	-0.253254	-1.65308	0.00930748	0.206097	-0.0131239	
-0.745745	-1.13975	-0.394715	-0.536441	-0.631074	-0.72682	-0.610526	0.114504	0.13308	0.176377	na	19	0.994737	0.099367	263	60.8526	0	74.1317	60.8526	61.4632	-0.277621	-0.015279	0.1	na	0	95	61.1579	-0.705829	0.055	na	na	na	na	na	na	65.9408	67.3318	57.0585	57.3941	-0.685674	-0.802499	36.2474	0.126354	-1.29526	0.00889197	0.159871	0.0165067	
0.105634	-0.971873	0.0555248	0.0756849	-0.0454927	0.00792925	16.8526	0.0844444	0.110619	0.210671	na	19	0.994737	0.132001	226	65.3211	0	63.7025	65.3211	48.4684	0.0393776	0.489775	0.1	na	0	65	56.8947	-0.429254	0.055	na	na	na	na	na	na	63.1933	64.5263	65.3567	65.7412	0.174218	0.102342	44.557	-0.0640445	-1.7733	0.010831	0.224924	-0.0142535	
0.479452	2.22033	0.160045	0.275261	0.0897319	0.245554	49.0632	0.117409	0.129293	0.233558	na	18	0.989474	0.14592	495	155.532	0	139.525	155.532	106.468	0.177795	0.656326	0.1	na	0	134	131	-0.249375	0.06	na	na	na	na	na	na	141.694	144.683	157.924	158.853	0.585208	0.53458	94.7444	-0.224823	-1.48269	0.0268144	0.238994	-0.00543546	
0.05275	-0.568082	0.431134	0.338393	0.442544	0.331423	30.3158	0.113553	0.127737	0.187105	na	19	0.994737	0.131896	274	78.2105	0	77.2323	78.2105	47.8947	0.0196309	0.728598	0.1	na	0	62	63.0526	-0.741206	0.055	na	na	na	na	na	na	83.211	84.9663	80.0117	80.4824	-0.195994	-0.287372	44.6489	-0.525046	-0.948043	0.00711911	0.220053	-0.0329489	
-1.24288	-0.374679	-1.85543	-1.78644	-1.33685	-1.41199	-63.6105	0.235521	0.257692	0.297133	na	18	0.989474	0.117441	260	51.4053	0	73.2861	51.4053	115.016	-0.462733	-1.61004	0.1	na	0	117	83.2105	0.546003	0.06	na	na	na	na	na	na	56.1282	41.6816	44.117	40.0176	-1.088	-0.216096	44.5181	0.91269	0.461806	0.00930748	0.285442	0.0116911	
-1.30636	0.0795631	-1.82169	-1.78195	-1.44241	-1.51033	-36.3368	0.200627	0.221875	0.231333	na	18	0.989474	0.11073	320	61.9368	0	90.1983	61.9368	98.2737	-0.485606	-0.749094	0.1	na	0	148	80.1053	-0.453317	0.06	na	na	na	na	na	na	67.5108	52.102	52.3743	47.9882	-1.14148	-0.428397	40.6695	1.16567	1.73513	0.00709141	0.224238	0.0070951	
-1.7484	-2.71163	-2.31583	-2.29386	-1.55733	-1.75912	-93.4105	0.287599	0.305263	0.304651	na	20	1	0.117653	380	62.2421	0	107.11	62.2421	155.653	-0.649227	-1.62434	0.05	na	0	181	108.947	0.069705	0.05	na	na	na	na	na	na	78.1085	49.6972	49.0468	40.9529	-1.89598	-0.954254	54.7808	2.11511	3.6903	0.00620499	0.283913	0.020738	
