mlcoalsim version 1.9916b (20190520)
n_iter	prior[001]	prior[002]	prior[003]	prior[004]	prior[005]	prior[006]	prior[007]	prior[008]	prior[009]	prior[010]	prior[011]	prior[012]	prior[013]	prior[014]	prior[015]	prior[016]	TD[pop=0]	Fs[pop=0]	FDn[pop=0]	FFn[pop=0]	FD[pop=0]	FF[pop=0]	H[pop=0]	B[pop=0]	Q[pop=0]	ZnA[pop=0]	Fst[pop=0]	Kw[pop=0]	Hw[pop=0]	R2[pop=0]	S[pop=0]	piw[pop=0]	pib[pop=0]	ThetaW[pop=0]	ThetaT[pop=0]	ThetaFW[pop=0]	D_Dmin[pop=0]	H_norm[pop=0]	maxhap[pop=0]	maxhap1[pop=0]	Rm[pop=0]	ThetaFL[pop=0]	ThetaL[pop=0]	ZengE[pop=0]	EW[pop=0]	Fstw[pop=0]	minuiHS[pop=0]	maxuiHS[pop=0]	maxliES[pop=0]	fixoutg[pop=0]	KoutgJC[pop=0]	ThetaWA[pop=0]	ThetaWAn[pop=0]	ThetaTA[pop=0]	ThetaTAn[pop=0]	AchY[pop=0]	AchYn[pop=0]	msdev[pop=0]	mskew[pop=0]	mkurt[pop=0]	ragg[pop=0]	ZnS[pop=0]	ZZ[pop=0]	nmhits[pop=0]	fr[pop=0,1]	fr[pop=0,2]	fr[pop=0,3]	fr[pop=0,4]	fr[pop=0,5]	fr[pop=0,6]	fr[pop=0,7]	fr[pop=0,8]	fr[pop=0,9]	fr[pop=0,10]	fr[pop=0,11]	fr[pop=0,12]	TD[pop=1]	Fs[pop=1]	FDn[pop=1]	FFn[pop=1]	FD[pop=1]	FF[pop=1]	H[pop=1]	B[pop=1]	Q[pop=1]	ZnA[pop=1]	Fst[pop=1]	Kw[pop=1]	Hw[pop=1]	R2[pop=1]	S[pop=1]	piw[pop=1]	pib[pop=1]	ThetaW[pop=1]	ThetaT[pop=1]	ThetaFW[pop=1]	D_Dmin[pop=1]	H_norm[pop=1]	maxhap[pop=1]	maxhap1[pop=1]	Rm[pop=1]	ThetaFL[pop=1]	ThetaL[pop=1]	ZengE[pop=1]	EW[pop=1]	Fstw[pop=1]	minuiHS[pop=1]	maxuiHS[pop=1]	maxliES[pop=1]	fixoutg[pop=1]	KoutgJC[pop=1]	ThetaWA[pop=1]	ThetaWAn[pop=1]	ThetaTA[pop=1]	ThetaTAn[pop=1]	AchY[pop=1]	AchYn[pop=1]	msdev[pop=1]	mskew[pop=1]	mkurt[pop=1]	ragg[pop=1]	ZnS[pop=1]	ZZ[pop=1]	nmhits[pop=1]	
0	0.000610	0.049668	22.045378	8.255352	6.801385	0.064077	0.064077	0.064077	0.064077	0.064077	0.051530	0.051530	0.051530	0.051530	0.051530	0.065004	-1.73962	-3.77624	-1.65829	-1.74603	-1.4877	-1.64657	-1.19231	0.0714286	0.133333	0.0825667	na	9	0.910256	0.0735639	15	2.82051	0	4.8337	2.82051	4.01282	-0.796984	-0.410497	0.307692	na	0	9	3.41667	-0.982501	0.159763	na	na	na	na	437	1064.05	2.85278	1.98032	1.69697	1.35385	-2.15222	-1.82595	1.70365	0.206992	-0.648413	0.0212032	0.102139	-0.0195726	5	9	4	0	0	0	0	0	0	0	0	0	2	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	9	0	na	0	na	na	na	na	452	1175.26	na	na	na	na	na	na	na	na	na	0	na	0	0	
1	0.000589	0.049313	0.721501	2.811207	0.195584	0.033897	0.033897	0.033897	0.033897	0.033897	0.017145	0.017145	0.017145	0.017145	0.017145	0.056339	-1.55683	-4.87395	-1.9445	-1.91347	-2.4914	-2.34318	1.69231	0	0	0.0672664	na	9	0.910256	0.074892	11	2.17949	0	3.54472	2.17949	0.487179	-0.737002	0.753965	0.307692	na	0	9	1.33333	-1.93075	0.159763	na	na	na	na	138	163.215	0.950927	0.990159	0.939394	0.953846	-0.0540225	-0.186037	1.25609	0.0950515	-0.711167	0.054405	0.0793756	-0.0121092	2	9	1	0	0	1	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	9	0	na	0	na	na	na	na	149	176.946	na	na	na	na	na	na	na	na	na	0	na	0	0	
2	0.000651	0.050630	0.313703	4.098011	9.045862	0.008983	0.008983	0.008983	0.008983	0.008983	0.009231	0.009231	0.009231	0.009231	0.009231	0.008504	-0.909202	-0.790064	-0.411826	-0.555548	-0.512969	-0.638233	0.371795	0	0	0.0151515	na	3	0.410256	0.150743	2	0.435897	0	0.644494	0.435897	0.0641026	-0.619345	0.556675	0.769231	na	0	1	0.25	-1.01478	0.621302	na	na	na	na	61	65.3217	0.475464	0.49508	0.333333	0.338462	-1.10753	-1.33029	0.548664	0.744706	-0.603504	0.190007	0.0151515	0	0	1	1	0	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	1	0	na	0	na	na	na	na	63	67.3422	na	na	na	na	na	na	na	na	na	0	na	0	0	
3	0.000588	0.046238	187.068282	3.735003	3.241087	0.031492	0.031492	0.031492	0.031492	0.031492	0.003307	0.003307	0.003307	0.003307	0.003307	0.000616	-1.489	-2.69176	-1.80112	-1.78319	-1.47503	-1.55364	-0.858974	0	0	0.0105556	na	6	0.717949	0.108974	6	1.15385	0	1.93348	1.15385	2.01282	-0.771607	-0.612806	0.538462	na	0	4	1.58333	-0.463826	0.337278	na	na	na	na	163	199.481	0.950927	0.49508	0.636364	0.461538	-1.47345	-0.284893	0.96802	0.564455	-0.251956	0.0641026	0.0960185	-0.085463	1	4	0	1	0	0	0	0	0	0	0	0	1	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	4	0	na	0	na	na	na	na	169	206.294	na	na	na	na	na	na	na	na	na	0	na	0	0	
4	0.001610	0.041871	19.030279	6.806228	3.036114	0.006844	0.006844	0.006844	0.006844	0.006844	0.000708	0.000708	0.000708	0.000708	0.000708	0.038992	-1.65231	-2.20607	-2.02547	-1.99639	-1.16569	-1.35018	-1.41026	0	0	0.00694444	na	4	0.423077	0.140442	3	0.461538	0	0.966741	0.461538	1.87179	-1	-1.63122	0.769231	na	0	2	1.16667	0.407037	0.609467	na	na	na	na	62	67.4302	0.475464	0	0.181818	0	-2.28819	na	0.574169	0.787491	-0.429825	0.184911	0.00694444	0	0	2	0	0	0	0	0	0	0	0	0	0	1	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	2	0	na	0	na	na	na	na	65	69.6361	na	na	na	na	na	na	na	na	na	0	na	0	0	
5	0.667870	0.009947	90.666321	7.161970	1.671543	0.010852	0.010852	0.010852	0.010852	0.010852	0.002579	0.002579	0.002579	0.002579	0.002579	0.002447	-0.845365	4.24903	-0.374087	-0.522503	-0.663974	-0.762705	39	0.0705882	0.105469	0.130476	na	10	0.961538	0.107221	256	67.3333	0	82.4952	67.3333	28.3333	-0.351697	0.931036	0.153846	na	26	108	47.8333	-1.89368	0.112426	na	na	na	na	24	73.275	70.3686	72.7767	59.9394	60.6769	-0.881656	-1.1362	19.6242	-1.88152	4.66132	0.0514464	0.13297	-0.0024934	44	108	82	30	18	5	5	0	0	2	0	5	1	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	108	0	na	0	na	na	na	na	280	410.717	na	na	na	na	na	na	na	na	na	0	na	0	0	
6	0.886514	0.092336	265.731518	2.263352	4.530734	0.038741	0.038741	0.038741	0.038741	0.038741	0.010039	0.010039	0.010039	0.010039	0.010039	0.007728	0.20001	7.12743	0.826631	0.684933	1.08591	0.849687	18.6026	0.139344	0.171429	0.234537	na	9	0.935897	0.159347	245	82.3846	0	78.9505	82.3846	63.7821	0.083235	0.463773	0.230769	na	13	39	73.0833	-0.334554	0.136095	na	na	na	na	32	110.912	97.9455	99.511	90.2727	90.7385	-0.466715	-0.603367	39.7303	-1.41025	0.352118	0.0389546	0.241612	-0.00707484	50	39	85	13	69	3	4	4	3	3	12	5	5	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	39	0	na	0	na	na	na	na	277	403.936	na	na	na	na	na	na	na	na	na	0	na	0	0	
7	0.000739	0.085574	94.142699	8.890684	3.251007	0.009341	0.009341	0.009341	0.009341	0.009341	0.006484	0.006484	0.006484	0.006484	0.006484	0.047641	-0.999291	-0.906771	-0.561276	-0.700069	-0.761253	-0.867797	1.15385	0.2	0.333333	0.210808	na	5	0.75641	0.124318	6	1.41026	0	1.93348	1.41026	0.25641	-0.517837	0.823173	0.461538	na	0	3	0.833333	-1.45732	0.301775	na	na	na	na	102	115.06	1.42639	1.48524	1.12121	1.13846	-1.03273	-1.28597	1.09824	0.325119	-0.816087	0.0425707	0.152593	0.0582155	0	3	2	1	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	3	0	na	0	na	na	na	na	108	121.689	na	na	na	na	na	na	na	na	na	0	na	0	0	
8	0.002315	0.017981	2.244254	7.816433	0.397810	0.055627	0.055627	0.055627	0.055627	0.055627	0.069066	0.069066	0.069066	0.069066	0.069066	0.068692	-1.57943	-2.03575	-1.60955	-1.65968	-1.12387	-1.30755	-1.03846	0.25	0.4	0.259312	na	5	0.628205	0.124379	5	0.897436	0	1.61123	0.897436	1.9359	-0.847738	-0.84599	0.615385	na	0	3	1.41667	-0.28984	0.420118	na	na	na	na	399	807.465	0.950927	0.49508	0.515152	0.338462	-2.04122	-1.33029	0.861737	0.701472	-0.237007	0.088593	0.109533	0.149779	5	3	1	0	0	0	0	0	0	0	0	0	1	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	3	0	na	0	na	na	na	na	404	826.413	na	na	na	na	na	na	na	na	na	0	na	0	0	
9	0.816713	0.004844	3.080825	8.677094	1.081434	0.031588	0.031588	0.031588	0.031588	0.031588	0.012633	0.012633	0.012633	0.012633	0.012633	0.038016	-0.27243	-2.71074	-0.483137	-0.444112	-0.178387	-0.21965	-9.53846	0.126582	0.2125	0.242357	na	13	1	0.121284	80	24.2308	0	25.7798	24.2308	33.7692	-0.114977	-0.709478	0.0769231	na	16	28	29	0.53419	0.0769231	na	na	na	na	255	414.759	24.7241	21.7835	23.5455	22.4308	-0.280821	0.200442	7.54884	-0.523975	0.575571	0.0226824	0.112626	0.129731	32	28	9	7	7	2	6	5	2	2	2	2	8	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	28	0	na	0	na	na	na	na	335	554.793	na	na	na	na	na	na	na	na	na	0	na	0	0	
