mlcoalsim version 1.9916b (20190520)
n_iter	prior[001]	prior[002]	prior[003]	prior[004]	prior[005]	prior[006]	prior[007]	prior[008]	prior[009]	prior[010]	prior[011]	prior[012]	prior[013]	prior[014]	prior[015]	prior[016]	TD[pop=0]	Fs[pop=0]	FDn[pop=0]	FFn[pop=0]	FD[pop=0]	FF[pop=0]	H[pop=0]	B[pop=0]	Q[pop=0]	ZnA[pop=0]	Fst[pop=0]	Kw[pop=0]	Hw[pop=0]	R2[pop=0]	S[pop=0]	piw[pop=0]	pib[pop=0]	ThetaW[pop=0]	ThetaT[pop=0]	ThetaFW[pop=0]	D_Dmin[pop=0]	H_norm[pop=0]	maxhap[pop=0]	maxhap1[pop=0]	Rm[pop=0]	ThetaFL[pop=0]	ThetaL[pop=0]	ZengE[pop=0]	EW[pop=0]	Fstw[pop=0]	minuiHS[pop=0]	maxuiHS[pop=0]	maxliES[pop=0]	fixoutg[pop=0]	KoutgJC[pop=0]	ThetaWA[pop=0]	ThetaWAn[pop=0]	ThetaTA[pop=0]	ThetaTAn[pop=0]	AchY[pop=0]	AchYn[pop=0]	msdev[pop=0]	mskew[pop=0]	mkurt[pop=0]	ragg[pop=0]	ZnS[pop=0]	ZZ[pop=0]	nmhits[pop=0]	fr[pop=0,1]	fr[pop=0,2]	fr[pop=0,3]	fr[pop=0,4]	fr[pop=0,5]	fr[pop=0,6]	fr[pop=0,7]	fr[pop=0,8]	fr[pop=0,9]	fr[pop=0,10]	fr[pop=0,11]	TD[pop=1]	Fs[pop=1]	FDn[pop=1]	FFn[pop=1]	FD[pop=1]	FF[pop=1]	H[pop=1]	B[pop=1]	Q[pop=1]	ZnA[pop=1]	Fst[pop=1]	Kw[pop=1]	Hw[pop=1]	R2[pop=1]	S[pop=1]	piw[pop=1]	pib[pop=1]	ThetaW[pop=1]	ThetaT[pop=1]	ThetaFW[pop=1]	D_Dmin[pop=1]	H_norm[pop=1]	maxhap[pop=1]	maxhap1[pop=1]	Rm[pop=1]	ThetaFL[pop=1]	ThetaL[pop=1]	ZengE[pop=1]	EW[pop=1]	Fstw[pop=1]	minuiHS[pop=1]	maxuiHS[pop=1]	maxliES[pop=1]	fixoutg[pop=1]	KoutgJC[pop=1]	ThetaWA[pop=1]	ThetaWAn[pop=1]	ThetaTA[pop=1]	ThetaTAn[pop=1]	AchY[pop=1]	AchYn[pop=1]	msdev[pop=1]	mskew[pop=1]	mkurt[pop=1]	ragg[pop=1]	ZnS[pop=1]	ZZ[pop=1]	nmhits[pop=1]	
0	0.000610	0.049668	22.045378	8.255352	6.801385	0.064077	0.064077	0.064077	0.064077	0.064077	0.051530	0.051530	0.051530	0.051530	0.051530	0.065004	-1.80503	-4.03734	-1.82961	-1.88805	-1.31187	-1.53221	-6.60606	0.0909091	0.173913	0.10293	na	10	0.969697	0.0751883	23	4.51515	0	7.6162	4.51515	11.1212	-0.819762	-1.55007	0.166667	na	0	13	7.81818	0.0996757	0.111111	na	na	na	na	538	982.833	4.9508	2.59206	2.81818	1.85185	-2.48692	-1.8184	1.78233	-0.202134	0.170664	0.0835629	0.102703	0.000227354	9	13	4	0	0	0	0	0	0	0	1	5	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	13	0	na	0	na	na	na	na	561	1044.75	na	na	na	na	na	na	na	na	na	0	na	0	0	
1	0.000589	0.049313	0.721501	2.811207	0.195584	0.033897	0.033897	0.033897	0.033897	0.033897	0.017145	0.017145	0.017145	0.017145	0.017145	0.056339	-1.89423	-3.34153	-2.31814	-2.28178	-2.11721	-2.15464	-0.909091	0	0	0.00826446	na	6	0.681818	0.107583	6	1	0	1.98684	1	1.90909	-1	-0.641651	0.583333	na	0	5	1.45455	-0.703507	0.375	na	na	na	na	94	102.026	0.49508	0	0.2	0	-2.33733	na	0.877058	0.564387	-0.43256	0.101699	0.0743802	-0.0661157	1	5	0	0	0	0	0	0	0	0	0	1	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	5	0	na	0	na	na	na	na	100	107.399	na	na	na	na	na	na	na	na	na	0	na	0	0	
2	0.000651	0.050630	0.313703	4.098011	9.045862	0.008983	0.008983	0.008983	0.008983	0.008983	0.009231	0.009231	0.009231	0.009231	0.009231	0.008504	-0.828791	0.104947	-0.934186	-0.935318	-1.12276	-1.09397	0.575758	0.5	0.666667	0.515152	na	3	0.530303	0.196467	3	0.742424	0	0.993418	0.742424	0.166667	-0.508684	0.659266	0.666667	na	0	2	0.454545	-1.09487	0.513889	na	na	na	na	79	83.9883	0.49508	0.518412	0.490909	0.5	-0.0330344	-0.162387	0.846906	0.996502	0.275654	0.0847107	0.353535	0.161616	1	2	0	1	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	2	0	na	0	na	na	na	na	82	86.8863	na	na	na	na	na	na	na	na	na	0	na	0	0	
3	0.000588	0.046238	187.068282	3.735003	3.241087	0.031492	0.031492	0.031492	0.031492	0.031492	0.003307	0.003307	0.003307	0.003307	0.003307	0.000616	-1.14053	-0.475656	-1.32974	-1.3184	-1.42122	-1.40617	0.151515	na	na	na	na	2	0.166667	0.276385	1	0.166667	0	0.331139	0.166667	0.0151515	-1	0.338215	0.916667	na	0	1	0.0909091	-0.90177	0.847222	na	na	na	na	31	31.752	0	0	0	0	na	na	0.375534	1.83073	1.25744	0.694444	na	0	0	1	0	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	1	0	na	0	na	na	na	na	32	32.7093	na	na	na	na	na	na	na	na	na	0	na	0	0	
4	0.001610	0.041871	19.030279	6.806228	3.036114	0.006844	0.006844	0.006844	0.006844	0.006844	0.000708	0.000708	0.000708	0.000708	0.000708	0.038992	-0.849715	-0.724551	-0.373719	-0.507046	-0.482752	-0.595998	0.393939	0	0	0.0181818	na	3	0.439394	0.157596	2	0.469697	0	0.662279	0.469697	0.0757576	-0.585452	0.584062	0.75	na	0	1	0.272727	-1.00012	0.597222	na	na	na	na	9	9.30804	0.49508	0.518412	0.363636	0.37037	-1.04116	-1.30568	0.56076	0.662208	-0.676256	0.190312	0.0181818	0	0	1	1	0	0	0	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	1	0	na	0	na	na	na	na	11	11.0822	na	na	na	na	na	na	na	na	na	0	na	0	0	
5	0.667870	0.009947	90.666321	7.161970	1.671543	0.010852	0.010852	0.010852	0.010852	0.010852	0.002579	0.002579	0.002579	0.002579	0.002579	0.002447	-0.180053	5.92496	0.321281	0.196047	0.248247	0.121957	17.6667	0.136842	0.208333	0.208242	na	7	0.924242	0.145962	96	30.5606	0	31.7894	30.5606	12.8939	-0.0778223	1.08848	0.166667	na	5	28	21.7273	-1.40347	0.152778	na	na	na	na	20	41.0285	33.6654	35.252	31.0727	31.6481	-0.471467	-0.735965	11.4073	-1.197	1.71688	0.0640496	0.181402	0.0268398	4	28	38	5	17	1	5	1	0	0	1	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	28	0	na	0	na	na	na	na	116	126.12	na	na	na	na	na	na	na	na	na	0	na	0	0	
6	0.886514	0.092336	265.731518	2.263352	4.530734	0.038741	0.038741	0.038741	0.038741	0.038741	0.010039	0.010039	0.010039	0.010039	0.010039	0.007728	-0.376686	2.28818	1.33176	0.914395	1.60641	1.05223	-21.0909	0.684211	0.689655	0.708729	na	8	0.924242	0.146685	58	17.6364	0	19.2061	17.6364	38.7273	-0.16455	-2.1075	0.25	na	0	4	28.1818	1.99317	0.152778	na	na	na	na	31	59.1238	26.7343	27.9942	20.3636	20.7407	-1.45478	-1.86	21.748	0.856096	-1.31193	0.0470615	0.703022	0.00570783	1	4	25	4	1	0	0	0	0	0	24	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	4	0	na	0	na	na	na	na	89	94.7963	na	na	na	na	na	na	na	na	na	0	na	0	0	
7	0.000739	0.085574	94.142699	8.890684	3.251007	0.009341	0.009341	0.009341	0.009341	0.009341	0.006484	0.006484	0.006484	0.006484	0.006484	0.047641	-1.00491	-5.26406	-1.19243	-1.18266	-1.57737	-1.48823	1.57576	0	0	0.0489807	na	9	0.939394	0.0995404	9	2.24242	0	2.98025	2.24242	0.666667	-0.498448	0.815476	0.25	na	1	6	1.45455	-1.53283	0.138889	na	na	na	na	119	131.273	1.48524	1.55524	1.49091	1.51852	0.019312	-0.139786	1.35942	0.414905	-0.815588	0.103306	0.10077	-0.0517898	0	6	1	1	0	1	0	0	0	0	0	0	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	6	0	na	0	na	na	na	na	128	140.477	na	na	na	na	na	na	na	na	na	0	na	0	0	
8	0.002315	0.017981	2.244254	7.816433	0.397810	0.055627	0.055627	0.055627	0.055627	0.055627	0.069066	0.069066	0.069066	0.069066	0.069066	0.068692	-2.01608	-2.11624	-2.49383	-2.45059	-2.09972	-2.17833	-2.27273	0	0	0.00826446	na	6	0.681818	0.112263	9	1.5	0	2.98025	1.5	3.77273	-1	-1.17617	0.583333	na	0	7	2.63636	-0.345496	0.375	na	na	na	na	645	1522.49	0.990159	0	0.4	0	-2.79211	na	1.37281	0.607088	-0.465373	0.03191	0.146006	-0.137741	4	7	0	0	0	0	0	0	0	0	0	2	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	7	0	na	0	na	na	na	na	654	1575.39	na	na	na	na	na	na	na	na	na	0	na	0	0	
9	0.816713	0.004844	3.080825	8.677094	1.081434	0.031588	0.031588	0.031588	0.031588	0.031588	0.012633	0.012633	0.012633	0.012633	0.012633	0.038016	1.33861	3.72438	1.22982	1.30451	1.56853	1.57595	-5.57576	0.3125	0.430769	0.485222	na	8	0.909091	0.206545	65	27.7576	0	21.5241	27.7576	33.3333	0.583078	-0.499873	0.25	na	9	5	30.5455	1.80604	0.166667	na	na	na	na	154	208.754	29.7048	30.5863	32.3091	32.7037	0.535961	0.497531	14.8904	-0.638423	-0.792477	0.11708	0.311704	0.173517	5	5	8	10	1	15	2	13	2	4	4	1	na	na	na	na	na	na	na	na	na	na	na	1	0	na	0	0	0	nan	0	10000	na	na	1	1	0	5	0	na	0	na	na	na	na	219	259.442	na	na	na	na	na	na	na	na	na	0	na	0	0	
